# ts,lat,lon,ele,hdop,vdop
1.642354999592999935e+09,4.573737948000000131e+01,-7.217563834000000611e+01,1.632340039062500000e+04,2.200000000000000178e+00,1.699999999999999956e+00
1.642355065608999968e+09,4.573797298000000211e+01,-7.215254984000000604e+01,1.654290039062500000e+04,2.399999999999999911e+00,1.899999999999999911e+00
1.642355137598999977e+09,4.573956954999999880e+01,-7.212933434999999349e+01,1.679819921875000000e+04,2.700000000000000178e+00,2.200000000000000178e+00
1.642355287164000034e+09,4.574194425000000308e+01,-7.207956993999999895e+01,1.690090039062500000e+04,4.099999999999999645e+00,3.299999999999999822e+00
1.642355359601999998e+09,4.574218098000000055e+01,-7.205449688999999580e+01,1.566070019531250000e+04,2.200000000000000178e+00,1.899999999999999911e+00
1.642355443592000008e+09,4.574490580999999878e+01,-7.202445957000000476e+01,1.427609960937500000e+04,1.600000000000000089e+00,1.300000000000000044e+00
1.642355515540999889e+09,4.574214297000000329e+01,-7.199727036000000169e+01,1.330509960937500000e+04,1.399999999999999911e+00,1.100000000000000089e+00
1.642355581605000019e+09,4.574325738000000285e+01,-7.196964291999999830e+01,1.249379980468750000e+04,2.899999999999999911e+00,2.399999999999999911e+00
1.642355650000000000e+09,4.574394625000000048e+01,-7.194411825000000249e+01,1.173040039062500000e+04,5.099999999999999645e+00,4.000000000000000000e+00
1.642355719598999977e+09,4.574434339999999821e+01,-7.191153681999999492e+01,1.092929980468750000e+04,1.699999999999999956e+00,1.399999999999999911e+00
1.642355787000000000e+09,4.574604666999999836e+01,-7.188111313000000280e+01,1.021100000000000000e+04,3.799999999999999822e+00,2.500000000000000000e+00
1.642355857601000071e+09,4.574664561000000162e+01,-7.185004200999999568e+01,9.507200195312500000e+03,1.600000000000000089e+00,1.399999999999999911e+00
1.642355935605000019e+09,4.574594205999999730e+01,-7.181837287999999830e+01,8.757200195312500000e+03,1.500000000000000000e+00,1.199999999999999956e+00
1.642356007592999935e+09,4.574497508999999695e+01,-7.179110065000000418e+01,8.101700195312500000e+03,1.399999999999999911e+00,1.100000000000000089e+00
1.642356075000000000e+09,4.574429948000000223e+01,-7.176728208000000109e+01,7.520799804687500000e+03,4.299999999999999822e+00,3.299999999999999822e+00
